d,ad1,ad2,ad3,ad4,ci,cid0
0.0007220 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0006030 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0004990 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0004160 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003580 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003230 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003090 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003080 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003110 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003120 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003120 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003120 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003130 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003200 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003360 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0003640 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0004040 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0004550 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0005130 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0005720 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0006210 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0006610 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0006920 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0007160 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0007380 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0007590 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0007790 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0007950 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0008150 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0008420 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0008810 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0009320 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0009940 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0010550 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0011210 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0011940 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0012750 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0013670 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0014720 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0015890 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0017150 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0018450 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0019780 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0021130 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0022550 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0024130 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0025950 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0028050 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0030420 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0032990 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0035700 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0038470 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0041320 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0044340 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0047780 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0052030 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0057440 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0064270 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0072600 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0082290 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0093130 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0104900 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0117470 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0130910 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0145420 ,0.00040 ,0.0000780 ,0.0000540 ,0.0000180 ,0,0
0.0161340 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0179050 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0198860 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0221030 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0245710 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0273090 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0303400 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0336840 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0373710 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0414300 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0459020 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0508290 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0562620 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0622570 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0688710 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0761870 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0842240 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.0930710 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1028000 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1134890 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1252210 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1380800 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1521570 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1675430 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.1843330 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.2026210 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.2225000 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.2440590 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.2673830 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.2925440 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.3196040 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.3486060 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.3795720 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.4124950 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.4473340 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.4840100 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.5223970 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.5623170 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.6035390 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
0.6457700 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0
1.0000000 ,0.00020 ,0.0000325 ,0.0000225 ,0.0000075 ,0,0